Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Increased_Cost Estimate,US East (Ohio),Amazon EC2,0,3937.3515999999995,47248.22,USD,"Operating system (Linux), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Data Transfer, Workload (Daily, (Workload days: Monday, Tuesday, Wednesday, Thursday, Friday, Baseline: 12, Peak: 24, Duration of peak: 8 Hr 00 Min)), Advance EC2 instance (t3.2xlarge), Data transfer cost (1126.31), Pricing strategy (On-Demand and Reserved 1 Year  None upfront)"
Increased_Cost Estimate,US East (Ohio),Amazon RDS for SQL server,0,14082.86,168994.32,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Number of nodes (4), Instance type (db.m4.xlarge), Deployment option (Multi-AZ), Pricing model (Reserved), License (License included), Database edition (Enterprise), Term (1yr), Purchase option (No Upfront), Additional backup storage (500 GB)"
Increased_Cost Estimate,US East (Ohio),S3 Standard,0,5.47,65.64,USD,S3 Standard storage (100 GB per month)
Increased_Cost Estimate,US East (Ohio),Data Transfer,0,92.07,1104.84,USD,"Data Transfer, Data transfer cost (92.07)"



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
